property_type;location;year;price
One bed;Dublin;2008;1013.64
One bed;Balbriggan, Dublin;2008;806.78
One bed;Blackrock, Dublin;2008;1190.13
One bed;Booterstown, Dublin;2008;0
One bed;Cabinteely, Dublin;2008;0
One bed;Citywest, Dublin;2008;0
One bed;Dalkey, Dublin;2008;967.67
One bed;Donabate, Dublin;2008;905.09
One bed;Dun Laoghaire, Dublin;2008;971.66
One bed;Glenageary, Dublin;2008;0
One bed;Howth, Dublin;2008;0
One bed;Killiney, Dublin;2008;0
One bed;Kinsealy, Dublin;2008;0
One bed;Lucan, Dublin;2008;956.89
One bed;Lusk, Dublin;2008;0
One bed;Malahide, Dublin;2008;1190.8
One bed;Monkstown, Dublin;2008;994.29
One bed;Mount Merrion, Dublin;2008;0
One bed;Portmarnock, Dublin;2008;1098.33
One bed;Rathcoole, Dublin;2008;0
One bed;Rush, Dublin;2008;0
One bed;Saggart, Dublin;2008;0
One bed;Sandycove, Dublin;2008;0
One bed;Shankill, Dublin;2008;0
One bed;Skerries, Dublin;2008;0
One bed;Stepaside, Dublin;2008;0
One bed;Stillorgan, Dublin;2008;1191.81
One bed;Swords, Dublin;2008;989.93
One bed;Dublin 1;2008;944.21
One bed;I.F.S.C., Dublin 1;2008;1175.03
One bed;Parnell Street, Dublin 1;2008;1101.87
One bed;Spencer Dock, Dublin 1;2008;1308.13
One bed;Summerhill, Dublin 1;2008;886.45
One bed;Dublin 2;2008;1124.52
One bed;Aungier Street, Dublin 2;2008;0
One bed;Charlemont Street, Dublin 2;2008;0
One bed;Grand Canal Dock, Dublin 2;2008;0
One bed;Grand Canal Square, Dublin 2;2008;0
One bed;Hanover Quay, Dublin 2;2008;0
One bed;Lower Mount Street, Dublin 2;2008;0
One bed;Pearse Street, Dublin 2;2008;1137.84
One bed;Tara Street, Dublin 2;2008;0
One bed;Temple Bar, Dublin 2;2008;0
One bed;Townsend Street, Dublin 2;2008;1183.86
One bed;Dublin 3;2008;878.65
One bed;Clonliffe, Dublin 3;2008;0
One bed;Clontarf, Dublin 3;2008;924.9
One bed;Drumcondra, Dublin 3;2008;829.89
One bed;East Wall, Dublin 3;2008;0
One bed;Eastwall, Dublin 3;2008;0
One bed;Fairview, Dublin 3;2008;774.97
One bed;Marino, Dublin 3;2008;0
